,name,latitude,longitude,city,region,cuisine,url,stars,min_price_EUR,max_price_EUR
640,The French Laundry,38.40443,-122.36474,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-french-laundry,3,67.97258620283382,135.94517240566765
641,The Restaurant at Meadowood,38.52025,-122.46479,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-restaurant-at-meadowood,3,67.97258620283382,135.94517240566765
642,SingleThread,38.612164,-122.86970500000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/singlethread,3,67.97258620283382,135.94517240566765
643,Alinea,41.91328,-87.64798,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/alinea,3,226.5752873427794,244.70131033020178
644,Geranium,55.70393000000001,12.57197,København,Denmark,Creative,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/geranium,3,334.5452345971694,334.5452345971694
645,T'ang Court,22.296572,114.1698,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/t-ang-court,3,41.689219376315386,196.86575816593376
646,Bo Innovation,22.276139999999998,114.171,Hong Kong,Hong Kong,Innovative,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/bo-innovation,3,86.85254036732373,310.35307757923675
647,Lung King Heen,22.28665,114.15673999999999,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lung-king-heen,3,69.48203229385898,345.09409372616625
648,Caprice,22.286645999999998,114.15661999999999,Hong Kong,Hong Kong,French,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/caprice,3,63.691862936037396,301.08880660672224
649,8½ Otto e Mezzo - Bombana,22.28189,114.15839,Hong Kong,Hong Kong,Italian,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana,3,67.16596455073034,159.80867427587563
650,L'Atelier de Joël Robuchon,22.281198999999997,114.15816000000001,Hong Kong,Hong Kong,French contemporary,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/l-atelier-de-joel-robuchon,3,69.25042551954611,240.8710452853778
